Product name,Product URL,price,rating,reviews
VIBGYOR Polycarbonate 22 Inch Spiderman Printed 360 Degree Rotating Wheels Multicolour Travel Luggage Trolley Bag for Kids,https://www.amazon.in/VIBGYOR-Printed-Poly-Carbonate-Rotating-Children/dp/B07DW4FWFW/ref=sxin_25_lscx_w_sp_ia?content-id=amzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc%3Aamzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07DW4FWFW&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=KRPpa&pd_rd_wg=P9A15&pf_rd_p=6be6952b-4534-4ca8-baf7-eb1ffc7503fc&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-048da096-9aef-4913-b917-aeb227ff179a,"₹4,996.00",5.0 out of 5 stars,1 rating
"GRABSMART Cosmetic Tote Bag for Makeup, Geometric Foldable Rhombus Folding Grid Cube Handbag, Makeup Tool Storage Pouch Purse Toiletry Bag Organizer",https://www.amazon.in/GRABSMART-Cosmetic-Geometric-Foldable-Organizer/dp/B09TT15JSS/ref=sxin_25_lscx_w_sp_ia?content-id=amzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc%3Aamzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09TT15JSS&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=KRPpa&pd_rd_wg=P9A15&pf_rd_p=6be6952b-4534-4ca8-baf7-eb1ffc7503fc&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-048da096-9aef-4913-b917-aeb227ff179a,₹549.00,5.0 out of 5 stars,1 rating
"Nicoberry Women's Artificial Leather Handbag (nic&&hb, Tan)",https://www.amazon.in/Nicoberry-Womens-Artificial-Leather-Handbag/dp/B07ZHFZ798/ref=sxin_25_lscx_w_sp_ia?content-id=amzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc%3Aamzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07ZHFZ798&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=KRPpa&pd_rd_wg=P9A15&pf_rd_p=6be6952b-4534-4ca8-baf7-eb1ffc7503fc&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-048da096-9aef-4913-b917-aeb227ff179a,₹848,4.7 out of 5 stars,5 ratings
Giftag Potli bags hand crafted for women in 4 colors raw silk to suit all occasions,https://www.amazon.in/Giftag-Womens-Crafted-Potli-Yellow/dp/B07X4F86P9/ref=sxin_25_lscx_w_sp_ia?content-id=amzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc%3Aamzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07X4F86P9&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=KRPpa&pd_rd_wg=P9A15&pf_rd_p=6be6952b-4534-4ca8-baf7-eb1ffc7503fc&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-048da096-9aef-4913-b917-aeb227ff179a,₹645.00,4.0 out of 5 stars,2 ratings
VIBGYOR PRODUCTS Synthetic 3.93 inches Hard Suitcase (PVC Cover_Multicolour),https://www.amazon.in/VIBGYOR-PRODUCTS-Enterprsies-Luggage-Trolley/dp/B08DV92XJQ/ref=sxin_25_lscx_w_sp_ia?content-id=amzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc%3Aamzn1.sym.6be6952b-4534-4ca8-baf7-eb1ffc7503fc&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08DV92XJQ&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=KRPpa&pd_rd_wg=P9A15&pf_rd_p=6be6952b-4534-4ca8-baf7-eb1ffc7503fc&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-048da096-9aef-4913-b917-aeb227ff179a,₹753.00,5.0 out of 5 stars,1 rating
Kuber Industries Women's Handkerchief Set (Cream),https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_26?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=IUdbq&pd_rd_wg=P9A15&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,₹313.00,3.8 out of 5 stars,482 ratings
Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_26?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=IUdbq&pd_rd_wg=P9A15&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,₹615.00,3.9 out of 5 stars,"4,102 ratings"
ADISA women girls embroided sling bag,https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_26?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=IUdbq&pd_rd_wg=P9A15&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,₹495.00,4.2 out of 5 stars,"1,428 ratings"
Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_26?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=d75a250b-f2f4-4022-91c3-77299ba2e806&pd_rd_w=IUdbq&pd_rd_wg=P9A15&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=5X2TZV6E5GRMHN246R67&qid=1679480827&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,₹974.00,4.2 out of 5 stars,"3,630 ratings"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-14,₹849.00,3.9 out of 5 stars,"2,344 ratings"
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-15,₹689.00,3.9 out of 5 stars,"15,255 ratings"
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-16,₹473.00,4.3 out of 5 stars,"12,346 ratings"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-17,₹689.00,3.9 out of 5 stars,"3,130 ratings"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-18,₹398.00,4.1 out of 5 stars,"8,167 ratings"
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-19,₹599.00,4.0 out of 5 stars,32 ratings
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679480827&sprefix=ba%2Caps%2C283&sr=8-20,₹799.00,3.9 out of 5 stars,719 ratings
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzcwNTgwNTgxMTQwOjE2Nzk0ODA4Mjc6c3BfYnRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679480827%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,800",4.9 out of 5 stars,17 ratings
"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzcwNTgwNTgxMTQwOjE2Nzk0ODA4Mjc6c3BfYnRmOjIwMDcyMzk1NTEyNzAyOjowOjo&url=%2FArtistix-Unisex-Travel-Backpack-Repellent%2Fdp%2FB09B5DMGM1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679480827%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,989.00",4.6 out of 5 stars,667 ratings
